image_id,x,y,w,h
7484,2520,155,180,180
7484,1736,404,180,180
7484,3185,1074,179,179
7484,2929,603,181,179
7484,3137,930,180,179
7484,3094,903,179,179
7484,2628,158,180,179
7484,2264,1432,179,179
7484,2724,1231,181,179
6017,2081,1408,179,180
6017,3129,930,180,180
6017,3136,1051,180,180
6017,3217,800,180,179
6017,2196,318,179,179
6017,3147,805,179,179
6017,2941,333,180,180
6017,2261,1423,180,180
6017,2589,1099,180,179
6382,2071,1399,180,180
6382,3102,864,180,179
6382,3189,1044,180,180
6382,3135,935,180,180
6382,2942,332,179,179
6382,1615,684,179,180
6382,2970,1016,180,180
6382,2262,1422,179,180
4212,2786,1785,181,180
4212,3048,1489,179,180
4212,1828,1669,180,180
4212,2982,1583,180,180
4212,2402,1814,179,180
4212,2642,393,179,179
4212,2101,1021,180,180
4212,1461,1215,179,179
4212,2496,1884,181,179
4212,2624,156,180,179
5452,1720,739,180,179
5452,1829,1670,180,180
5452,3053,1331,180,180
5452,2578,1682,180,180
5452,1667,1374,180,180
5452,1665,939,179,179
5452,2538,1256,180,179
5452,2436,1875,180,179
5452,2431,1244,179,178
5452,2425,234,179,180
4069,1735,304,179,180
4069,1921,1373,179,180
4069,2877,1688,180,180
4069,1788,1128,179,179
4069,1828,1670,180,180
4069,3150,1277,180,179
4069,1775,1389,181,180
4069,2964,546,179,180
4069,2520,1822,181,181
4069,2342,1470,180,180
6987,2143,308,180,180
6987,3196,1041,180,179
6987,3131,934,180,180
6987,2086,381,179,179
6987,2997,889,181,180
6987,2791,373,180,180
6987,2934,947,180,180
6987,2262,1422,179,180
6987,2627,1123,180,180
6197,2097,1405,180,179
6197,3109,817,180,179
6197,3073,1065,180,180
6197,3137,935,179,180
6197,2157,311,179,179
6197,3041,917,180,180
6197,2941,332,180,180
6197,2261,1423,180,179
6855,2069,1363,180,179
6855,3196,1092,179,178
6855,3130,934,180,179
6855,1928,416,181,180
6855,3026,874,180,180
6855,2837,498,180,181
6855,2922,335,180,179
6855,2881,978,180,180
6855,2262,1422,179,180
6855,2627,1121,180,180
4685,2862,1704,179,180
4685,1829,1670,179,180
4685,3056,1425,180,180
4685,3082,1274,180,180
4685,1949,187,180,180
4685,1637,1398,180,180
4685,1523,930,180,180
4685,2552,1343,180,180
4685,2618,1858,179,179
4685,2682,1325,180,180
7128,2074,1346,180,179
7128,3104,972,180,179
7128,3160,1017,180,180
7128,2999,661,179,180
7128,2087,503,180,180
7128,3135,930,178,179
7128,3211,848,180,179
7128,2261,1422,180,180
7128,2660,1117,180,179
7128,2701,300,180,180
626,598,269,179,179
626,3878,1144,180,179
626,2429,679,179,180
626,1902,735,179,180
626,481,600,181,179
626,737,319,179,179
626,497,182,180,180
626,2835,1166,181,182
626,604,659,180,180
626,1626,245,179,180
626,2173,793,179,180
626,2254,770,180,179
6068,2081,1408,179,180
6068,3178,1005,181,180
6068,3129,928,180,180
6068,2186,322,179,179
6068,3068,817,180,179
6068,2941,333,180,180
6068,2261,1423,180,179
5006,1948,1504,179,179
5006,1829,1671,179,180
5006,2668,1807,180,180
5006,1672,987,180,179
5006,1734,1686,181,180
5006,3034,1350,180,180
5006,1514,1164,180,180
5006,1523,1325,179,181
5006,1435,1193,180,180
5006,1998,1012,180,180
6471,2071,1399,180,180
6471,3135,935,180,180
6471,3032,919,180,180
6471,2942,331,179,180
6471,1638,789,180,181
6471,2971,1008,180,180
6471,2262,1423,179,179
5134,1826,1491,179,180
5134,2668,1807,180,180
5134,1536,1086,180,180
5134,1830,1671,179,179
5134,3054,1333,179,180
5134,1927,372,180,179
5134,2675,1179,181,181
5134,1533,1357,180,180
5134,2360,371,179,179
7043,1827,375,179,179
7043,3196,1077,180,179
7043,2972,839,181,179
7043,3131,934,180,179
7043,2072,447,180,180
7043,2794,375,180,181
7043,3043,1003,180,180
7043,2262,1422,179,180
936,2118,708,179,180
936,1372,262,180,180
936,776,239,180,180
936,668,269,180,180
936,2306,742,179,180
936,3549,119,179,180
936,1446,1065,180,180
936,523,1247,180,180
936,701,481,179,180
936,541,1358,180,181
936,2189,806,180,180
936,557,382,180,180
4639,2882,1705,180,180
4639,2763,1737,180,180
4639,1829,1670,179,180
4639,3044,1491,179,179
4639,1638,1384,180,180
4639,1525,930,179,180
4639,3185,991,181,180
4639,2627,1834,181,180
4639,2752,1317,180,181
4639,2696,283,179,179
7362,2042,1323,179,180
7362,1977,1800,178,180
7362,3089,1098,180,179
7362,3135,931,180,180
7362,1867,453,181,181
7362,3092,1012,180,179
7362,2942,601,179,179
7362,2261,1434,180,179
7362,2623,243,180,180
536,762,0,180,123
536,582,299,178,179
536,689,235,180,180
536,1431,288,180,180
536,3742,1421,182,179
536,2259,776,179,180
536,3705,1299,180,179
536,3707,87,180,181
536,1536,296,179,180
536,1153,223,178,179
536,1758,795,179,180
536,1031,279,178,179
536,2656,1048,179,179
536,556,638,180,180
536,2176,802,180,180
6920,2067,1347,179,180
6920,3196,1091,179,179
6920,3129,933,180,180
6920,1947,401,180,180
6920,3023,872,180,180
6920,2818,484,181,181
6920,2899,345,179,180
6920,2884,979,180,180
6920,2262,1422,179,179
6920,2628,1123,180,180
525,1562,455,180,180
525,1137,0,182,107
525,739,207,180,179
525,1450,285,179,179
525,3857,1471,181,180
525,3420,132,179,180
525,1151,48,180,180
525,2175,812,180,180
525,1742,727,180,180
525,1008,272,179,179
525,2459,846,181,180
525,579,613,180,179
525,2272,771,180,179
525,597,359,179,179
7214,1535,545,179,180
7214,2069,1327,180,181
7214,3122,1049,180,180
7214,2973,656,179,179
7214,3099,948,180,180
7214,2264,1431,180,180
7214,2686,1205,180,180
7214,2702,301,180,179
5173,2669,1808,180,180
5173,1537,1086,179,180
5173,1829,1671,179,179
5173,3050,1331,180,180
5173,2616,424,180,180
5173,2212,1496,180,179
5173,2817,1465,180,180
5173,1534,1356,179,180
5239,2789,1767,180,181
5239,1829,1670,180,180
5239,3051,1331,179,180
5239,1920,371,180,179
5239,2536,1717,180,180
5239,1547,870,180,180
5239,1398,872,180,180
5239,1535,1354,180,180
5239,2487,1885,179,180
5239,2769,1456,180,181
826,1370,231,180,180
826,948,146,180,179
826,512,231,181,180
826,2937,1222,180,179
826,2325,689,179,179
826,1442,853,180,179
826,2201,791,179,180
826,668,271,179,178
826,407,620,179,180
826,431,267,180,180
826,2214,765,179,179
567,1130,282,179,179
567,617,263,179,179
567,3291,1502,180,178
567,3714,1260,180,180
567,2259,778,179,180
567,1652,611,181,180
567,1897,868,180,179
567,840,262,179,179
567,423,166,180,180
567,2775,1218,179,180
567,529,618,181,180
567,1589,403,179,180
567,2175,798,180,180
567,619,263,179,179
4899,2667,1808,180,180
4899,1706,889,180,179
4899,3003,1352,180,179
4899,1825,1670,180,179
4899,1755,1622,180,180
4899,2724,201,180,179
4899,1752,980,179,178
4899,1950,1675,179,180
4899,2272,1845,181,180
4899,1973,1363,179,178
7412,1773,410,179,179
7412,2001,1335,180,179
7412,3186,1048,180,180
7412,3136,930,180,180
7412,3111,971,179,180
7412,2941,602,180,179
7412,1976,208,179,180
7412,2264,1432,179,179
7412,2726,1231,180,180
7412,2624,243,180,180
6356,2071,1399,179,180
6356,3106,817,180,180
6356,3188,1041,180,179
6356,3135,936,180,180
6356,2941,332,180,180
6356,2969,1016,180,180
6356,2262,1423,179,179
4083,1916,1643,179,180
4083,2877,1689,180,180
4083,1829,1670,180,180
4083,3150,1275,180,180
4083,1465,1122,179,179
4083,1965,381,179,179
4083,2897,483,180,180
4083,2342,1470,179,180
4083,1709,1282,181,180
4083,2624,1802,180,179
6195,2097,1405,180,179
6195,3109,818,180,180
6195,3072,1066,180,180
6195,3136,935,180,180
6195,2142,336,180,180
6195,3041,906,180,180
6195,2941,332,180,180
6195,2262,1423,179,179
5231,2789,1767,180,181
5231,1427,881,179,180
5231,1829,1670,180,180
5231,3051,1331,179,180
5231,1917,389,179,180
5231,2536,1717,180,180
5231,1524,981,179,180
5231,1535,1354,180,180
5231,2487,1885,179,180
5231,2768,1460,179,180
5099,1763,1471,179,180
5099,2669,1807,179,180
5099,1731,895,180,180
5099,1830,1671,179,180
5099,3034,1350,180,179
5099,2102,433,181,180
5099,3031,682,180,180
5099,1567,1051,179,179
5099,1528,1302,180,180
5099,2194,1147,179,179
740,2181,729,179,180
740,2187,771,179,179
740,867,126,180,180
740,663,270,179,179
740,2593,468,181,180
740,2533,538,180,180
740,1604,529,179,180
740,521,0,180,161
740,511,807,180,180
740,1365,238,180,180
740,2295,782,180,180
740,2060,933,179,180
740,443,606,179,179
6833,2070,1363,179,180
6833,3194,1089,180,179
6833,3130,933,180,180
6833,1936,425,181,180
6833,3024,950,180,180
6833,2837,497,180,181
6833,2922,334,180,180
6833,2922,1005,180,180
6833,2262,1422,179,180
6833,2612,1128,180,180
695,1862,649,179,180
695,1588,199,178,179
695,753,233,179,179
695,635,62,180,179
695,628,280,179,178
695,3997,975,99,182
695,630,528,178,180
695,2329,668,180,180
695,1786,689,179,180
695,540,529,181,181
695,2724,1167,180,181
695,2188,777,179,180
695,2281,729,180,181
981,668,269,180,179
981,480,1405,179,180
981,552,386,180,180
981,2210,725,179,180
981,2028,625,179,179
